id,latitude,longitude,district,station_name
6bd2976a-cbdb-4d6e-9bfd-08a2fbf8dfe6,10.37694444,78.81777778,Pudukkottai,Pudukkottai
6c9b8ce4-3276-4094-98ee-669f3ce81128,8.11972222,77.52722222,Kanyakumari,Kottaram
6e0380af-90df-4c98-83e3-e471a9d0b6e2,8.24722222,77.545,Kanyakumari,Aralvaimozhi
6e6e7336-2955-484a-ba17-0973a3532065,9.61194444,77.955,Virudhunagar,Virudhunagar_IB
71da3ded-c159-47ed-9c3e-7a9ae3c938af,10.461111,78.701111,Pudukkottai,Annavasal_1
734f3afd-2706-4ae3-a8b1-0d4367e9221e,13.021667,79.7625,Ranipet,Kesavaram Anicut_1
739bbbb6-bde6-4039-9df9-0392b3d35cd5,13.33138889,80.19527778,Tiruvallur,Ponneri
7699bf80-5abe-4936-9a57-a97c349b0e8b,12.50861111,79.12222222,Tiruvannamalai,Polur
785fc13c-6b87-4876-9ca0-eb0eb01e43fe,10.65638889,79.09805556,Thanjavur,Kurungulam
79a6f3c2-f623-4e93-8f74-9952f4317b34,12.07222222,79.585,Viluppuram,Vidur Anicut
79a731e7-eb7a-4d36-8b20-0a395868ab71,13.20833333,79.87583333,Tiruvallur,Poondi Reservoir
7ac1b947-8b75-436c-a4a6-58126d093fdf,11.14527778,79.45,Thanjavur,Lower Anicut
7d80578e-6d56-47be-880a-8ee5fe87b7f9,10.426111,79.326111,Thanjavur,Pattukottai_1
7eae2419-3e99-4122-8c06-6ece8451f030,10.230278,78.228611,Dindigul,Natham_1
7f7419ad-af18-465d-9cf0-24abf75fd8eb,9.583333,78.316667,Virudhunagar,Narikudi_1
864028f4-7fbf-4edd-b008-d435f956c2ac,10.646944,78.238333,Karur,Palaviduthi_1
89a49d24-bb06-437e-ac39-2a5b5e33da43,11.22555556,78.87555556,Tiruchirappalli,Perambalur
89b938b2-92a6-4611-9e7b-90afff8e5f9d,11.133056,78.018889,Namakkal,ParamathiVelor
8a5f3280-3f82-481e-8d86-f33c8204a569,8.2347,77.377894,Kanyakumari,Anaikidangu
8be22b18-b724-48af-9506-50860f641eba,10.569722,79.195556,Thanjavur,Vettikadu_1
900c23d6-4345-440d-8fb1-c5f4f0322f96,10.270556,78.535833,Pudukkottai,Ponnamaravathi_1
90ccd4fa-dcf5-41e2-a03f-c7c872bc1941,11.104722,77.343889,Tiruppur,Thiruppur_1
9642f36f-1e8b-4021-9364-59477d19673a,9.412778,78.363056,Ramanathapuram,Kamudhi -ARG
